CapableOf
carpenter	build_roof
government	short_taxes
advertising_agency	market_product
mind	control_matter
people	mind_manners
paymaster	hand_check
baseball_player	catch_baseball
entertainer	please_crowd
waiter	set_table
oceans	dry_up
sun	brown_skin
paint	coat_car
person	arm_bomb
rats	bite
artists	paint_portraits
doctor	explain_disease
chairman	note_absentees
gift	surprise_girlfriend
exercise	condition
flashlight	shine_light
people	think_creatively
human_being	feel_competitive
clock	tell_time
old_person	share_memory
people	speak
student	chair_committee
frost	coat_roses
toddler	keep_dolls
maids	iron_shirts
adult	help_child
officer	direct_trafic
pork	taste_off
birds	spread_wings
pavlov	condition_dog
shooter	fire_gun
baryshnikov	dance_well
burning	produce_pollution
person	pick_scab
knives	butter_bread
children	gather_strawberries
taskmaster	demand_obedience
death	happen_to
wheeled_vehicle	roll
jimi	experience_pleasure
planes	crash
mammal	drink_liquids
lizards	exercise
males	hold_females
caramel	coat_apple
person	guess_unknown
machines	milk_cows
people	visit_places
living_entities	procreate
human_beings	experience_spirituality
cat	following_mouse
city_native	guide_tourist
hammer	strike_nail
person	own_animal
ice	become_water
birds	chirp
tickling	disturb_conversation
flowers	cover_fields
people	hold_conversations
person	board_airplane
person	out_friend
opinion	separate_group
manager	closing_store
patron	watch_play
cars	need_oil
child	laugh_at
controller	control_device
goose	fly
sick_person	battle_cancer
tennis_player	serve_ball
tongue_twister	trip_up
criminal	name_accomplices
phone	ring_loudly
children	suffer_greatly
company	mail_order
guess_correctly	nail
we	count_vegetables
caring_person	offer_solace
massage	improve_circulation
player	understand_rules
humans	reproduce
referees	settling_argument
refrigerator	stock_food
birthday_girl	receive_gifts
people	air_problems
boy_scouts	go_camping
corporations	value_thought
people	eat_pizza
vexatious_litigant	demand_help
angry_people	cause_riots
person	scale_mountain
police	carry_gun
clerk	bag_groceries
wind	power_sailboat
eyes	glass_over
baby	name_dog
good_student	step_ahead
politician	govern_population
benjamin_franklin	fly_kite
bladder	filled
people	doubt_people
cook	ready_meal
chef	quarter_apple
frogs	swim
almost	become_president
keeping_promises	gain_credibility
building	face_north
sharp_remark	cut_crap
condition	matter_much
love	surprise_enemy
person	experience_life
music	sound_lovely
hat	fit_well
nut	fit_bolt
person	become_depressed
wax	coat_car
we	do_want
atlas	shoulder_earth
children	skip
mechanic	true_wheels
people	experience_joy
person	visit_zoo
finger	point
company	mail_clients
fruit	become_ripe
cook	season_dish
comedy	delight_watchers
plants	reproduce_asexually
recklessness	cause_accidents
sales_person	market_product
batteries	last_awhile
dentists	pull_teeth
medication	treat_ocd
horse	pull_cart
driver	forget_keys
fools	think_infallible
extra_pen	prove_useful
polish	perfect_carving
cowboy	smoke_tobacco
student	finish_examination
teacher	mark_papers
mediator	settle_arguments
cops	circle_victims
magician	fool
parents	name_babies
hard_drives	store_data
interesting_news	grab_attention
passage	walk_through
people	side_houses
tooth	come_loose
batteries	power_lantern
person	shoe_horse
courageous_person	face_fears
audit	surprise_person
cars	crowd_freeway
cook	glass_dessert
humans	dream
divorce	divide_family
adhesive_tape	bind
exercise	work_out
student	tear_paper
sniper	nail_target
clerk	close_account
secretaries	page_bosses
name	proper_noun
policeman	hit_litterbug
one	catch_catfish
mechaps	design_mech
literature	provide_comfort
torpedo	explode
buisness_man	strike_deal
wood	burn
at_night	see_stars
child	receive_gift
woodcutters	saw_trees
teacher	drop_pencil
people	air_grievances
retiree	receive_pension
schol_district	bus_children
security_guard	man_post
soldiers	ducking_weaponsfire
student	voice_dissent
whales	form_pods
grape_juice	stain_clothes
soldier	raise_flag
surgeons	heal_injuries
locomotive	pull_train
meteors	enter_atmosphere
investigator	question_suspect
person	eat_dinner
myth	cause_stigma
reporter	doubt_source
internet	find_website
epilogue	follow_play
theatres	showing_movies
club	break_bones
groceries	cost_money
getting_old	age_one
sally	dress_herself
toungues	taste_drinks
something_you	take_caution
driver	turn_car
artist	perfect_masterpiece
person	continue_giving
beatnik	dig_poetry
cab_drivers	collect_stories
garbage	holds_garbage
delicatessan	market_cheese
percussionist	ring_bell
computer	receive_data
teacher	teach_child
vacation	include_cruise
teacher	educate
ships	near_destination
anyone	write_poem
shampoo	sting_eyes
detergent	clean_clothes
fisherman	bone_salmon
horse	drink_water
employee	please_boss
letters	touch_heart
castaway	experience_loneliness
skillet	brown_meat
accountant	number_accounts
medical_students	view_autopsy
herbalist	gather_herbs
person	even_odds
todd	burn
ear	hear
intolerance	divide_people
guru1	cast_shadow
car	pull_boat
things	branch_out
alcohol	lower_inhibitions
honest_person	keep_word
if_listen	learn
travel_agent	plan_vacation
blackjack_player	double_money
barman	shake_cocktail
horses	jump_high
criminals	father_criminals
person	face_enemy
moses	free_people
teenagers	voice_dissent
germ	carry_disease
farmer	plant_marijuana
od	implies_death
physicist	perfect_theory
secretaries	type
anyone	object_statement
people	oil_machinery
foghter	advance_forward
college	teaches_arts
adult	marry
student	ditch_class
couch_potato	watch_tv
people	doubt_answers
people	milk_cow
person	deceive_himself
reasoning	analogical
key_chains	beer_openers
thirsty_person	dream_drink
pilot	fly_airplane
ballast	right_ship
flowering_plant	have_roots
farmers	farm_land
country_music	drive_insane
person	experience_joy
trainer	buy_horse
medical_doctor	doctor_patient
camper	go_hiking
policeman	corner_mugger
gardeners	seed_flowerbed
opponent	cook_goose
tacking_yacht	sail_upwind
peson	stand_up
brewery	bottle_beer
children	fear_dark
dentist	use_drill
door	close
heavy_surf	erode_beaches
jewellery	cost_fortune
hot_faucet	scald_skin
person	board_ship
cloud	hide_sun
dogs	smell_drugs
grass	cake_lawnmowers
new_technology	stream_video
athletes	bicycle_forever
thief	surprise_person
computer	arithmetic
good_speaker	gather_crowd
rower	row_canoe
star	explode
hot_toddy	provide_comfort
student	master_chess
gushing_fountains	flood_area
labrador_retrievers	named_duke
fire	cook_vegetables
prince	becomes_king
stinky_people	passing_gas
fire	burn_cloth
spring	bounce
button	start_machine
person	book_appointment
pioneer	circle_wagons
forger	doctor_documents
box	store_food
fencers	attack
usa	produce_bombs
workers	mine_ore
sand	flow
lover	touching_tenderly
extreme_cold	cause_frostbite
humans	stand_upright
trainer	school_students
trash	holds_garbage
doberman_pinschers	guard_estate
teacher	teach_students
colored_people	dance_well
baseball_player	charge_mound
cats	claw
milk	taste_sour
explorers	discover_places
teeth	decay
good_story	please_us
machine	construct
window	stick_open
college_degree	further_career
money	pay_bills
people	own_land
dog	get_stick
kissing	romantic_event
celebrity	sign_autograph
fans	crowd_arena
chicks	following_mother
community	school_children
predators	corner_prey
cat_outside	wanders
often_test	stressful_event
fruit	go_off
bricklayer	build_house
crane	lift_bricks
people	cut_hair
spearman	throw_spear
stallion	service_mare
doctor	prescribe_drug
pictures	show_faces
person	fall_asleep
not_everyone	good_parent
teacher	class_pupils
clerks	stock_shelves
tourniquet	control_bleeding
student	study
wire	short_circuit
brother	bug
traffic_jam	slow_traffic
human_being	feel_grateful
rowers	row_boats
children	set_table
chicken	food
sea	appear_flat
visitors	wave_goodbye
burglar	break_law
genius	head_corporation
exporter	ship_merchandise
computer	surf_internet
computer_games	keep_score
car	slow_down
attache_case	carry_documents
anarchist	agitate
fire	kill_people
person	plant_flower
car_thief	joy_ride
animals	pass_water
paddler	right_canoe
card_player	deal_cards
drunk	throw_up
poised_person	carry_day
humans	bread_children
stout_ship	fair_storm
keanu_reeves	act_badly
bartender	shake_martini
we	man_spacecraft
people	gain_knowledge
detective	spot_criminal
people	hear_noises
person	need_god
ceiling	sag
sleeper	dream_nightmare
horses	sleep_standing
drug_dealers	sell_crack
lawnmower	mow_lawn
marching_band	step_together
novelist	complete_book
car	roll_downhill
trackers	hunt_outlaws
person	continue_learning
drawstring_bags	hold_items
child	act_guilty
people	row_rafts
human	dream_dreams
people	ship_packages
people	bite
injury	become_infected
shopper	bag_groceries
person	mind_remark
witness	state_facts
diligent_practice	perfect_technique
bank	back_loan
people	share_food
person	smelly
salesman	pester_people
cat	run_away
calligrapher	letter_beautifully
people	board_airplane
person	enter_store
we	begin_lunch
skateboarder	break_bone
ali	take_course
dockworker	lift_box
giraffe	drink_water
students	doubt_teachers
if_resigns	lose_benefits
ears	hear_noise
dictator	demand_respect
people	wear_jeans
student	thank_teacher
teacher	name_pupils
clerk	price_merchandise
mistress	tie_straps
couches	facing_windows
cat	kill_mouse
child	circle_picture
fan	cool_skin
winner	face_issues
citizen	report_theft
we	prove_able
people	choose_life
life_forms	reproduce
warm_milk	provide_comfort
farmer	bottle_pickles
hand	hold_hand
beautiful_woman	stop_traffic
person	further_education
child	need_mother
dealer	deal_cards
bouncer	ring_neck
gambler	bank_winnings
policeman	book_robber
sentries	guard_palaces
hands	turn_knobs
most_people	lie
we	guess_secret
climber	climb_mountain
whistleblower	report_crime
santa_claus	bring_presents
lies	wrong_individual
painkillers	cause_overdose
conductor	direct_orchestra
gardai	direct_traffic
reaching_landfall	control_hurricane
ship's_captain	man_helm
spectators	view_games
chef	quarter_chicken
animal	live
student	complete_course
people	stock_food
stocks	sold
gardener	pick_flowers
spices	season_meal
people	order_goods
person	oil_motor
queen_bee	rule_hive
concentrating_person	train_thoughts
bed	rest_person
negative_attitude	cause_discrimination
babies	begin_crying
debtors	pay_interest
child	pass_peas
one	file_recipes
vampires	drink_blood
people	farm_carrots
gambler	up_stakes
breakes	slow_car
applicant	land_job
pickle	sour
person	teach_another
rainbow	follows_rain
children	play_basketball
greeters	welcome_patrons
living_entities	eat
cashiers	thank_customers
grill	barbeque_food
toothpaste	polish_teeth
guilty_conscience	make_sick
climber	near_top
one_person	meet_another
pharmacist	issue_drug
dude	appear_stoned
bereaved	need_comforting
robert	face_edwina
person	join_team
jar	hold_water
child	ring_doorbell
judge	fine_lawyer
child	row_boat
torpedo	target_ships
student	understand_lecture
animal	sense_presence
accountants	figure_taxes
orchids	grown_indorrs
person	taste_food
seed	grow
monopoly	corner_market
one	tune_cars
person	smell_flower
babysitter	mind_children
cold	still_frogs
people	trade_ideas
people	experience_emotions
flint	strike_sparks
we	wonder_aloud
one	except_inappropriate
good_things	happening_to
germs	spread_disease
judge	fine_defendent
printing	advance_civilization
good_performer	delight_audience
child	miss_bus
fool	smoke_cigarette
typographer	page_book
homo_sapiens	walk_upright
machinist	machine_shaft
police_oficer	uphold_law
airplanes	circle_airport
christian	go_astray
rockets	traveling_fast
bells	rang
gardners	plant_seeds
joints	get_sore
firefly	light_up
campsite	includes_tent
humans	punch
humans	ready_trucks
dirty_tricks	fool_everyone
people	feel_blue
people	shake_people
factory	can_beans
flowers	smell_good
voltage_spike	trip_fuse
revenge	even_score
fire	warm_campers
person	look_angry
sponge	hold_water
filmmaker	film_scene
students	learn_facts
carpenters	lay_flooring
human_being	hides_valuables
necessity	father_invention
person	sign_letter
traveler	board_ship
host	seat_guest
stopwatch	time_event
vineyard	bottle_wine
breaking_seal	void_warranty
cops	corner_crooks
sun	melt_snow
people	eat_corn
human_muscles	exert_force
children	play_tag
computer_networks	spread_information
furnace	warm_home
who	number_stars
trainer	time_runner
dog	help_master
soldier	kill_enemies
hand	do_pat
student	guess_answer
cook	burn_food
sentry	sound_alarm
back_yard	private_place
farmers	raise_cattle
healthy_person	stand_up
bubble	burst
clancy	lower_boom
person	throw_party
diner	order_dessert
teams	pick_leader
people	follow_story
walker	walk
horse	outrun_human
storekeeper	price_products
people	govern_themselves
whore	swallow_semen
soprano	sing_aria
angry_dog	kill_person
student	do_mathematics
cats	purr
tree	shade_car
ice	cool_drink
interest	compounded_or
arms_dealers	arm_rebels
paint	coat_building
living_things	sense_environment
painter	blue_wall
buildings	get_bombed
people	bug_people
crooks	suffer_remorse
hyena	laugh_lots
people	catch_cold
ice	cool_body
kangaroo	jump_high
carrots	choped
bands	win_contests
one_question	follow_another
burning_trash	smell_bad
cad	wrong_lover
drivers	back_trailers
friends	lend_tools
scientists	prove_theory
fingers	feel_textures
ruler	govern_state
democrat	fear_republicans
telephone	ring_loudly
people	call_people
don't_think	grow_taller
criminal	own_gun
armies	storm_cities
birds	grow
frog	win_princess
frogs	jump
forms	include_words
stopwatch	time_runner
senators	chair_committees
policemen	direct_traffic
sock	warm_foot
unspoken_feelings	separate_people
diner	salt_vegetables
clown	surprise
child	feed_goldfish
mankind	reach
rabbi	seat_synagogue
cars	need_repairs
secretary	record_minutes
family	share_meal
people	labor_hard
parent	name_child
child	wonder_why
butcher	cut_meat
politician	field_questions
gena	pony_name
human	say_hello
person	voice_opinion
people	report_crime
bad_weather	slow_traffic
farmer	farm_crops
pipe	spring_leak
worker	scape_troubles
artist	paint_masterpiece
cake	finish_soon
paint	coat_surface
entranceway	sport_door
getting_sleep	improve_mood
computer	labor_forever
cat	eye_mouse
friend	needle_mercilessly
dogs	eat_bones
anything	fall_down
love	cost_nothing
person	bicycle_downtown
police_officers	corner_suspect
stork	bring_baby
computer_equipment	overheat
janitor	clean_urinal
visitors	leave_mess
japanese	speak_english
trapper	salt_meat
paint	coat_fence
politicians	field_questions
governor	head_state
box	store_objects
car	kill_dog
people	welcome_strangers
dealer	supply_junkie
carpenters	build_outhouses
people	enter_door
performance	delight_audience
sexual_relationships	cause_chlamydia
student	solve_equation
humans	sense_temperature
mouse	enter_mousehole
money	further_fortune
child	breathe
bike_mechanic	fix_bikes
earth	revolve
hermit	die_alone
samantha	train_ride
kids	tie_shoelaces
gamblers	back_horses
police_officer	book_criminal
person	feed_horse
person	wash_themselves
gambler	pick_winner
chimps	use_computer
fruit_growers	can_produce
living_being	die
lie	destroy_trust
athlete	lose_game
waitress	keep_change
good_crew	man_lifeboat
sick_person	battle_disease
cat	wash_paws
locker_rooms	smell_bad
car_horn	honk
people	govern_people
chauffeur	drive_car
burdens	add_weight
incontinent_people	wet_bed
it's_possible	build_mansion
presidential_candidates	have_debate
soldier	shoulder_gun
anyone	battle_racism
hand	turn_valve
squirrel	gather_acorns
exercise	lower_cholesterol
people	better_themselves
humans	name_objects
nose	sniff
mold	form_statue
gardener	garden_plants
prince	use_hammer
yogurt	go_bad
cooks	bread_vegetables
tire	get_leak
airplane	seat_passengers
journeymen	journey_far
person	sign_form
person	smell_odour
computer	think
human_being	feel_betrayed
juice	cost_money
consultant	explain_mishap
bighead	show_off
travelery	book_flight
water	scape_leak
pursuer	close_distance
trucks	carry_cars
virus	reproduce
policemen	ride_motorcycles
poets	use_rhyme
painter	paint_wall
pawnbrokers	fence_watch
gardner	plant_trees
friend_scott	draw_possums
person	throw_fit
water	wet_glass
people	bank_online
person	man_ship
typist	stop_typing
merchant	offer_deal
campfire	fire_hazard
person	pet_cat
music	control_populace
people	get_tired
brake	slow_car
carpenter	side_house
children	honor_parents
fish	eat_flies
one_hand	wash_other
rooster	pet
airplanes	speed_up
cook	taste_sauce
conservation	save_rainforests
water	feel_wet
humans	dance
children	rush_around
being_attacked	painful
cook	bread_fiash
plumber	service_pipes
net	catch_fish
person	make_wine
tape_measure	measure_waist
thieves	steal_money
war	escalate
magic_carpet	fly
pupil	answer_teacher
boat_magazine	describe_landing
pluber	lay_pipe
lawyers	prove_cases
student	circle_word
casino_dealer	deal_cards
unheated_room	stay_cold
police	free_prisoner
vagrant	smoke_cigarette
television	watch_news
company	bottle_liquid
club	hold_tournaments
eyes	tear_easily
people	worship_idols
trees	grow
person	drink_milk
professor	chair_discussion
donations	help_charities
teachers	open_boxes
ice	melt
thought	produce_guilt
fire	destroy_objects
sweethearts	hold_hands
spy	following
whips	hurt_asses
mike	fix_car
pedstrians	crossing_street
job_hunter	land_good
people	taste_sour
farmer	farm_farms
elderly_person	act_childishly
people	come_home
team	gain_lead
horseman	ride_horse
grwing_child	need_food
people	waste_paper
people	desire_company
teacher	school_student
freeway	ring_city
shipper	ship_object
tarot_card	explain_nothing
female_kangaroos	control_pouches
cat	produce_kittens
person	battle_illness
