nun	priest
noteful	noteless
waste	useful
lipophilic	hydrophilic
a.m	p.m
peaceful	nonpeaceful
those	these
health	sickly
solute	solvent
lowbrow	highbrow
run	walking
entropy	exergy
dead	alive
disempower	inspire
dishonesty	honesty
obscure	clear
be	exist
hope	despair
overwhelming	underwhelming
punctuated	unpunctuated
change	static
know	ignorant
support	aid
zeal	apathy
profit	deficit
unmappable	mappable
leaf	flower
colony	mother
countably	uncountably
might	weakness
bone	flesh
unselfishly	selfishly
positronic	electronic
change	permanent
better	worst
myth	fact
rise	lower
afterhand	beforehand
conquerable	inconquerable
exist	fake
entad	ectad
synonym	antonym
have	desire
periphery	center
undercapitalized	overcapitalized
acrophase	trough
find	hide
interesting	uninteresting
nothingness	existence
blueward	redward
upriver	downstream
to	open
allopoiesis	autopoiesis
altruist	egoist
animal	vegetable
tomorrow	yesterday
farm	city
coherence	incoherence
breakfast	dinner
rough	fine
backbencher	frontbencher
concave	convex
expansion	shrink
basify	acidify
broad	skinny
audacious	shy
existential	phenomenal
infinitesimal	infinity
monaural	stereophonic
inmarriage	outmarriage
cousin	sibling
remote	companionable
abderian	agelastic
clothes	undressed
aggregatable	unaggregatable
roughness	smoothness
sail	motorboat
chic	unchic
damage	repair
anticlimax	climax
mediocre	remarkable
uneven	even
lengthen	shorten
nursery	high
uncarefully	carefully
circle	square
inoppugnable	dubious
coercee	coercer
nag	praise
civilised	uncivilised
glorify	slander
bass	treble
overtubulation	undertubulation
join	part
chronic	acute
tin	aluminum
mappability	unmappability
opinion	partial
pointless	useful
morning	late
blasphemy	reverence
joy	sorrow
foregoing	subsequent
health	sickness
kitten	puppy
nonevolutionary	evolutionary
hiit	liss
irrationally	rationally
miss	sir
swallow	out
inspire	expire
menorrhagia	oligomenorrhea
cacophonous	euphonious
lunacy	sanity
able	unable
familiar	unknown
convert	deconvert
non	oui
honest	untrustworthy
lack	enough
disenchantment	enchantment
ultrasonic	infrasonic
innerness	outerness
sickness	healthy
monoseme	polyseme
proactively	reactively
sound	fury
consensus	dissensus
moon	earth
body	soul
restful	restless
run	still
uncombinable	inseparable
unselfish	selfish
agree	disagreement
indent	unindent
inexorable	exorable
nation	city
apocalyptic	nonapocalyptic
rush	slow
serial	parallel
criticism	compliment
important	insignificant
history	writings
prosocialist	antisocialist
ball	cube
distasteful	pleasant
necessary	evitable
homocladic	heterocladic
period	comma
ultra	infra
opposition	support
sense	foolish
europhobe	europhile
mystery	known
prolonged	brief
precede	succeed
flocked	unflagged
unflattering	flattering
art	graffiti
sootless	sooty
univocal	polysemic
occident	orient
smoothness	jerkiness
deblouse	blouse
merry	miserable
milk	water
job	unemployment
superluminary	subluminary
alone	with
symptom	cause
substitutable	nonsubstitutable
gregarious	ungregarious
wind	stagnant
knight	jester
space	earth
determinable	undeterminable
ambiguous	precise
owner	slave
elect	politician
shallow	deep
butcher	gentle
diplobiontic	haplobiontic
play	fun
tallen	shorten
capital	town
lowlander	highlander
uncomfortably	comfortably
sweet	dry
univocal	polysemous
dishonestly	honestly
hyperfilamentous	hypofilamentous
difficult	simple
coagulation	dissolution
forfeit	going
break	heal
explicitly	implicitly
land	water
revivable	unrevivable
meatarian	vegetarian
permabull	permabear
learn	forget
agnate	enate
subjectivism	objectivism
beneceptor	nociceptor
bearish	bullish
furthersome	hindersome
adopt	birth
opponent	friend
brutal	kind
identical	distinct
hypoalbuminemia	albuminosis
teeth	gums
vacation	work
ergonal	thermal
obscurity	fame
antedate	postdate
respect	despect
scorbutic	antiscorbutic
unbecoming	becoming
noseride	tailride
eutocic	dystocic
unifiable	divisible
debit	credit
endoresection	exoresection
eros	thanatos
diegetic	commentative
unhale	hale
whitelisted	blacklisted
protic	aprotic
song	instrumental
hypernymic	hyponymic
equilibrium	insanity
cursed	blessed
have	not
tight	crap
conjecturable	unconjecturable
operant	inoperant
print	written
fate	chance
trivial	radical
subordinate	insubordinate
conversion	deconversion
radiopaque	radiolucent
minimand	maximand
mutator	accessor
hyponymy	hypernymy
cheat	deal
secretor	nonsecretor
sullen	pleased
thrill	boring
art	logic
pollution	conservation
spinup	spindown
butterfly	moth
elevation	demotion
square	crooked
domesticity	business
change	constant
holonymy	meronymy
violate	comply
hypertension	hypotension
reach	miss
cover	flaunt
downgoing	upgoing
unwrittenness	writtenness
whole	part
payment	owing
femto	peta
page	spine
lift	lower
break	accelerate
apomorph	pleisiomorph
hypometabolism	hypermetabolism
bar	church
unlearned	learned
overbuild	underbuild
enplane	deplane
genius	idiot
inefficient	efficient
playing	working
dimly	brightly
engaging	boorish
wave	trough
sleep	waking
pointed	blunt
untestable	testable
depression	happiness
flaccid	firm
illiteracy	read
incapable	capable
amelioration	deterioration
probity	wickedness
tax	credit
supporter	detractor
expected	surprising
incidentally	inevitably
demersal	planktonic
age	younger
party	home
tread	riser
validate	disprove
independent	dependent
lusophile	lusophobe
squelched	unsquelched
accountably	irresponsibly
alienate	accept
legged	legless
cuntservative	libtard
afferent	efferent
neapy	springy
auxesis	catacosmesis
wine	beer
motion	static
maleficiary	beneficiary
savagely	gently
katothermal	anothermal
racemic	scalemic
nomotreme	anomotreme
burial	cremation
note	chord
chicken	being
appointment	dismissal
necessary	cs
exhort	dehort
might	weak
tenacity	brittleness
stenophagous	euryphagous
ring	necklace
servant	hired
ask	tell
homomolecular	heteromolecular
sufficient	unsufficient
overcorrection	undercorrection
exobiotic	endobiotic
comfortable	uncomfortable
noncreationary	creational
rescue	endanger
posteriorly	anteriorly
cell	room
5	3
farmer	man
dance	wallflower
glad	upset
reply	messages
respect	insult
dark	lightness
tax	gift
cheap	spendthrift
baby	elder
clueful	clueless
informatory	uninformative
regular	irregular
fill	cup
irreplicable	replicable
inequation	equality
farmer	industrial
unembarrassable	embarrassable
endoenthalpic	exoenthalpic
galeophobia	ailurophilia
manner	rudeness
determinable	indeterminable
nearness	distantness
plastic	elastic
promag	fanzine
shipperhood	noromoness
engage	disengage
cordless	corded
jocularly	seriously
deteriorating	improving
gross	microscopic
wet	dry
window	wall
inflow	outflux
costless	costful
inconvenient	convenient
fact	opinion
happy	inappropriate
logogenic	melogenic
dabbler	lifestyler
possessee	subject
stasis	movement
being	dead
crescendo	decrescendo
daughter	boy
indistinguishability	distinguishability
binary	ascii
modern	urn
lad	gal
speedful	speedless
clear	foggy
sudden	gradual
mediocre	great
unfriendly	friendly
nondepository	depository
cyclogenesis	anticyclogenesis
extrovert	introvert
figuratively	literally
allocentric	idiocentric
nontrinitarianism	trinitarianism
annexable	separable
hawkish	dovish
move	stop
tidy	messy
honor	despise
contraction	expansion
wear	naked
unsubduable	subduable
break	working
harmfulness	innocuousness
homologous	heterologous
experiencedly	inexperiencedly
uncipher	encipher
dyophysite	miaphysite
indentation	protrusion
overmanage	undermanage
accommodate	discommodate
leaver	remainiac
unpopular	popular
commander	follower
debus	embus
whither	whence
false	true
disavow	accept
glad	heavy
affair	faithful
forehand	backhand
micropyle	chalaza
dangerous	safe
underlook	overlook
unembellished	adorned
regard	neglect
shake	nod
stole	give
radicate	uproot
debrine	brine
free	slavery
growing	decreasing
potential	phenomenon
build	demolition
imprudent	circumspect
homotachy	heterotachy
grow	getting
public	private
rest	work
taciturn	garrulous
medial	lateral
reafference	exafference
toad	frog
idle	active
heritability	environmentability
burn	freeze
carry	borrow
inshell	shelled
know	understand
sweetness	bitterness
maidenliness	unmaidenliness
misnomer	aptronym
finity	endlessness
superpackage	subpackage
age	years
disenamour	enamor
undermanage	overmanage
lack	glut
hindersome	furthersome
antagonize	appease
redeem	abandon
press	pull
vie	concede
book	magazine
programmed	unprogrammed
sanctionable	unsanctionable
drop	go
inviolable	violable
drop	onto
caulescent	acaulescent
anabatic	katabatic
unnecessarily	necessarily
newfangled	oldfangled
raise	demotion
shoe	hat
bedroom	room
obey	resist
rigid	flexible
business	home
bidirectional	unidirectional
morning	evening
stereoregular	stereoirregular
find	loose
song	silence
citable	uncitable
waste	conserve
ignoble	noble
unreinforced	reinforced
inapposite	apposite
press	lift
install	uninstall
snow	rain
morally	immorally
tidiness	untidiness
neophobia	paleophobia
god	dog
undeceptive	deceptive
catadromous	anadromous
hot	cold
people	person
parvanimity	magnanimity
nudist	clothist
thetic	nonthetic
servant	paid
copy	original
trick	treat
average	hyperbolic
judeophobic	judeophilic
born	die
unshepherded	shepherded
occupancy	inoccupancy
masculation	feminization
rest	energy
annexable	unannexable
respect	humiliate
gather	spread
undignified	dignified
absorb	emit
theist	atheist
beautiful	grotesque
hypodiploidy	hyperdiploidy
allocentric	selfish
decent	indecent
estimate	exact
merge	split
postanthesis	preanthesis
moral	amoral
pull	button
landward	lakeward
pejorative	meliorative
touch	feeling
cisgenic	transgenic
equivocal	unequivocal
defragmentation	fragmentation
supernal	earthly
dagger	cloak
cancerous	noncancerous
division	addition
birthless	noble
character	person
intestate	testate
nationwide	citywide
monestrous	polyestrous
voluntary	mandatory
macrosociology	microsociology
spice	bland
considerately	inconsiderately
mydriasis	miosis
paraphile	normophile
why	because
monogyny	polygyny
fast	low
current	future
pastor	congregation
fail	succeed
discrete	multiplexed
later	previous
hoard	declutter
strong	forcelessly
sg	pl
point	comma
demand	ask
actual	smaller
duplex	simplex
subtract	add
rural	urban
hide	public
rebellion	obedience
cellulifugal	cellulipetal
controversial	noncontroversial
happy	unhappy
physical	mental
seat	stand
topspin	backspin
voluble	halting
inseparability	separability
wealthy	poor
cross	pleased
loveful	hateful
boss	employee
swim	sink
bloom	die
trivial	fundamental
birthday	date
nurse	doctor
boo	cheer
bore	entertain
really	falsely
flooded	unflooded
anteriorly	posteriorly
protect	attack
ostensible	ulterior
indiscreet	discreet
inflexibility	flexibility
underdetermined	overdetermined
disdain	admiration
southland	northland
happiness	haplessness
grass	weeds
dad	son
banal	new
river	road
sickness	health
directly	indirectly
middle	extreme
city	small
convexity	concavity
intensional	extensional
free	paid
dance	stand
possess	give
heteromorphemic	tautomorphemic
debuff	renew
children	adults
within	outwith
ambidextrous	ambisinistrous
enthrone	dethrone
neighbour	person
feminine	male
variable	constant
blue	green
heteroplastide	homoplastide
expected	unlikely
record	erase
may	cannot
child	up
rise	go
bedroom	living
ndr	ndc
oxidant	antioxidant
oxygen	dioxide
prepare	raw
leftpondian	rightpondian
hedonism	asceticism
passifan	actifan
populate	depopulate
corner	wall
leg	arms
previous	succeeding
foreshock	aftershock
spot	stripe
dissociate	associate
much	less
claim	reject
tough	easy
diastatic	nondiastatic
owner	debtor
glorification	vilification
gather	disseminate
hyponatremia	hypernatremia
conlang	natlang
hyponym	hypernym
warming	cooling
little	big
specialise	generalize
biogenesis	abiogenesis
talkative	mute
unspoilt	spoilt
hostile	friendly
untroublesome	troublesome
blameworthy	praiseworthy
even	number
flashforward	flashback
conservative	liberal
inimitable	commonplace
speaking	unspeaking
lessee	lessor
abjectly	proudly
debt	lend
holodimer	apodimer
heteronormative	homonormative
unblouse	untuck
lungo	ristretto
beyond	near
indistinctly	distinctly
definite	indefinite
black	white
expressive	unexpressive
oversocialized	undersocialized
inconsistency	consistency
unresponsive	responsive
every	nothing
philodox	philosopher
flyworthy	unflyworthy
maidenlike	unmaidenlike
harsh	genteel
invincible	conquerable
i	you
endoskeletal	exoskeletal
deactivate	activate
exteroreceptor	enteroreceptor
macrogeography	microgeography
troubledness	untroubledness
steak	chicken
postdiction	prediction
sound	her
hypogamy	hypergamy
discount	surcharge
etiquette	ill
unpolished	polished
normalize	reverse
glass	metal
macrophysiology	microphysiology
juicy	unjuicy
lineal	collateral
powerless	powerful
quote	unquote
forth	back
nonvanilla	normophilic
bubble	antibubble
family	strangers
combustion	extinguish
error	rightness
bass	drum
downmarket	upmarket
contraction	dilatation
antiangiogenic	proangiogenic
lunch	dinner
guard	inmate
microalga	macroalga
uphill	downhill
unscorable	scorable
fog	sky
theme	rheme
dismount	mount
pragmatic	idealistic
extrinsicality	intrinsicality
shake	steady
try	succeed
theorizable	untheorizable
white	tanned
interest	disinterest
significant	insignificant
prenucleoplasty	postnucleoplasty
smell	odorless
leaflet	book
prologue	epilogue
few	lot
lag	tag
judge	jury
start	complete
build	down
humanist	nonhumanist
hibernation	aestivation
fertile	infertile
leet	lame
pony	horse
blinkingly	unblinkingly
unrevealable	revealable
plaintiff	defendant
depressogenic	antidepressant
cost	retail
reducibility	irreducibility
wreck	produce
a.m	pm
party	funeral
synonymy	antonymy
automatic	manual
softcore	hardcore
beknickered	knickerless
pico	tera
disconsolately	consolably
caulkhead	overner
self	outcross
singledom	coupledom
massive	inconsequential
dysnatremic	eunatremic
destruction	construction
sleep	awaken
between	outside
face	body
regularity	irregularity
intrapatient	interpatient
extrathoracic	intrathoracic
polygyny	oligogyny
reward	punishment
servant	man
certain	sure
incredible	ordinary
coal	diamond
dolt	genius
offer	acceptance
sheathe	unsheathe
lot	few
consent	dissent
forgivably	unpardonably
baby	old
decreation	creation
semple	gentle
snarl	unsnarl
foresight	hindsight
lady	gentleman
unprincipled	principled
worst	best
innocent	perverse
welcome	thank
recto	verso
editable	uneditable
incubous	succubous
fluorophilic	fluorophobic
smiling	unsmiling
definability	undefinability
heterothallic	homothallic
hyposmia	hyperosmia
bless	curse
sanity	madness
narrow	thick
sprightly	melancholy
defiable	undefiable
immarcescible	marcescible
every	no
desacralize	sacralize
fortify	weaken
antiwhite	prowhite
sufficiency	insufficiency
cryo	thermo
strong	forceless
nonnegative	negative
cast	crew
supersingular	ordinary
progress	fail
intranslatability	translatableness
feminize	masculinise
schizothecal	holothecal
bang	whimper
graphite	lead
machine	human
moment	ages
skydiver	whuffo
multiplace	monoplace
expand	contract
undammed	dammed
distinguishable	indistinguishable
exclusive	inclusive
psogos	panegyric
disease	health
exterior	interior
joy	sadness
entertain	bore
clement	inclement
elevation	diminishment
succeed	precede
undersocialized	oversocialized
whole	partial
richling	poorling
evening	early
ideally	nonideally
summer	nice
pleisiomorph	apomorph
cathode	anode
dorsad	ventrad
payment	debit
underdesigned	overdesigned
enfeeble	reinforce
derelict	inhabited
value	disrespect
enchanted	disenchanted
need	luxury
homosex	heterosex
community	anticommunity
westernize	easternize
extravagance	economize
merged	unmerged
identical	different
megalospheric	microspheric
employ	sack
audibly	inaudibly
truthful	lying
unattackable	attackable
paste	gel
real	simulated
limited	infinite
flocked	unflocked
extend	contract
compartmentalization	decompartmentalization
producible	destructible
positive	uncertain
translesbian	cislesbian
intervocalically	interconsonantally
unenthusiastically	enthusiastically
bellicist	pacifistic
recordable	unrecordable
contemplation	pragmatism
maximal	minimal
utility	disutility
disequalization	equalization
unscrupulous	upstanding
refutable	irrefutable
caffeinated	decaffeinated
design	unplanned
freedom	captivity
inapplicable	applicable
respect	belittle
cabin	villa
prudence	imprudence
plate	fork
unobscurable	obscurable
decide	think
writing	speaking
place	win
plural	singular
finite	infinite
damaged	perfect
authentic	unauthentic
eath	uneath
denitrify	nitrify
addition	subtraction
nor	neither
work	recreation
fall	climb
proinflammatory	antiinflammatory
loveling	hateling
home	vacation
break	piece
date	stood
loosely	tightly
miotic	mydriatic
abiogenesis	biogenesis
continent	island
common	personal
cheechako	sourdough
infiltrate	exfiltrate
hypermetropy	shortsightedness
chicken	brave
lesbophobe	lesbophile
scorn	admiration
bibliophilic	unbibliophilic
sight	blindness
hardhanded	leisured
mention	secret
theory	practical
popularity	unpopularity
wrongly	correctly
degenitalize	genitalize
doomed	blessed
rebukable	unrebukable
motion	rest
book	cover
highcut	lowcut
relation	unrelated
sfw	nsfw
open	shut
abundant	rare
deinstrumentalize	instrumentalize
hirable	unhirable
multicenter	monocenter
busy	nothing
nearsightedness	longsightedness
recent	distant
production	consumption
intraarticular	extraarticular
immiscible	miscible
irritation	soothing
optional	mandatory
passion	apathy
prequel	sequel
care	hate
combine	disunite
decrypt	encrypt
eu	dys
homosynaptic	heterosynaptic
op	ed
political	nonpolitical
angstful	angstless
revealable	unrevealable
undersleep	forsleep
unanimity	pluranimity
point	dull
extant	extinct
average	poor
consequential	inconsequential
creational	noncreational
wmv	avi
yes	no
quiet	sounded
tax	spend
alive	dead
rule	exception
oldster	youngster
apogee	nadir
dynamical	statical
unmergeable	indivisible
hatesite	fansite
take	drop
adsorption	desorption
dabbler	professional
show	hide
finger	toes
surprise	about
agnosis	gnosis
hot	neutral
testable	intestable
untrust	trust
plan	wing
gratefulness	ingratitude
sale	buy
enzootic	epizootic
go	stay
car	bus
end	ect
monoracial	biracial
afterbeat	forebeat
trouble	being
immaturely	maturely
failing	succeeding
guy	gal
patiently	macrophobically
insurmountable	surmountable
burn	cool
myopia	hypermetropy
embraceable	unembraceable
nature	city
friend	stranger
oliguria	polyuria
separability	inseparability
employ	make
bell	honk
asymmetric	symmetrical
unnatural	natural
inch	mile
coercer	coercee
doctor	nurse
minus	positive
uncountability	countability
away	back
conspicuously	inconspicuously
coloring	shade
allocate	free
heaven	hell
gyno	andro
insubordination	subordination
fight	up
article	editorial
piece	whole
extreme	moderate
pompous	modest
shortform	longform
how	why
trotskyite	stalinist
oldbie	newbie
combined	uncombined
normalcy	abnormalcy
thunder	lightning
bobfoc	butterbody
homosteric	heterosteric
reduce	make
strange	everyday
kingly	unkinglike
warspeak	peacespeak
seaweed	sea
procyclicality	countercyclicality
believer	unbeliever
deflation	inflation
pure	impure
creature	house
simultaneous	sequential
underwhelming	overwhelming
why	reason
militarist	pacifist
observant	introspective
stick	carrot
arrive	depart
ground	air
come	going
correctly	incorrectly
miso	philo
mundania	fandom
deteriorative	nondeteriorative
illiquid	liquid
wall	floor
hyperboulia	abulia
lady	her
semidumb	semismart
streamed	unstreamed
fellow	lady
licit	illicit
hater	lover
slow	rapid
freedom	oppression
pacific	bellicose
climax	catacosmesis
summerlike	unsummerlike
renucleate	denucleate
unincreasable	irreducible
blackwashing	whitewashing
disconnect	connect
semelparous	iteroparous
soprano	alto
exosomatic	endosomatic
disgregate	congregate
secundo	primo
extravagance	moderation
skyrocket	plummet
aerophyte	anaerophyte
dull	bright
strong	diluted
sewer	ground
hypograph	epigraph
inconceivability	conceivability
elect	appoint
ill	being
memory	forgetting
care	disinterest
deplete	replenish
men	humans
revivable	irrevivable
mumpsimus	sumpsimus
exteriorly	interiorly
carry	down
inseparable	uncombinable
sendable	unsendable
resoluteness	irresoluteness
overtalk	undertalk
rigorous	capricious
clothes	naked
hospitableness	unhospitableness
undefined	defined
variable	unchanging
citizen	countryfolk
fit	lazy
uncanny	canny
move	stay
sand	water
coin	dollar
unmelted	melted
captain	seaman
downswing	upswing
scholarliness	unscholarliness
falsism	truism
hardcovered	softbound
thunder	silence
fansite	hatesite
sphere	cube
either	nor
would	wont
disdain	revere
ethereality	materiality
fear	bravery
sit	standing
filling	cavity
closer	further
undifferentiated	differentiated
meet	go
side	middle
talk	being
stomachable	unstomachable
synpharyngitic	postpharyngitic
separate	combine
haramization	halalization
visibly	latently
unapologetic	apologetic
intraverbal	interverbal
division	combination
da	nyet
perigalacticon	apogalacticon
inaudible	vocal
purity	impurity
shade	brightness
dance	flower
joy	grief
writing	read
policeman	policewoman
edge	centre
rough	smooth
play	musical
isosyllabism	anisosyllabism
literacy	illiteracy
empty	fill
ltr	rtl
lemon	orange
workably	unworkably
disobedient	obedient
soft	loud
ratifiable	unratifiable
logically	illogically
respect	dishonor
certain	impossible
uncover	cover
baseness	honor
earth	space
conducive	unconducive
sock	gloves
unconditional	conditional
affair	loyal
view	model
antidemocracy	prodemocracy
fell	up
thankless	thankful
simplicity	complication
informality	formality
early	later
criminalizer	legalizer
incomprehensibly	comprehensibly
recent	long
treyf	kosher
attack	defend
autist	nt
vernal	autumnal
music	television
kindful	kindless
destructive	constructive
wave	still
poet	prose
exist	be
imperatrix	imperator
widow	divorced
city	town
meltable	unmeltable
birth	death
analysis	synthesis
antiblackness	problackness
manyness	oneness
servile	authoritarian
brexiteer	remainer
queenlike	unqueenlike
homodiegetic	heterodiegetic
romantic	platonic
unsuddenly	suddenly
deliver	pick
multihull	monohull
suddenly	unsuddenly
badfic	goodfic
tough	tender
underlit	overlit
diurnality	nocturnality
top	under
cleanness	dirtiness
ipsilateral	contralateral
peacespeak	warspeak
necessary	superfluous
overwhip	underwhip
three	seven
feminize	masculise
divorcee	spouse
claim	disclaimer
expressive	inexpressive
butterface	butterbody
distal	proximal
history	record
nostalgia	nostophobia
gettable	ungettable
detrain	entrain
atheistic	theistic
finally	initially
clueless	clueful
dune	dyke
lenis	fortis
evil	nice
exophasia	endophasia
profit	loss
chance	sure
sinister	dexter
unregistered	registered
dwarf	giant
domestic	foreign
age	old
hydrate	dehydrate
antonym	synonym
malocclusion	benocclusion
tighten	loosen
fortississimo	pianississimo
great	small
inaudible	audible
disdain	respect
corn	seed
withershins	deiseal
multiplication	division
metal	soft
cake	bread
distinguishment	similarity
meromictic	holomictic
night	day
stretch	contract
zoologist	botanist
evergreen	deciduous
heterodiploid	homodiploid
dignify	mortify
unexpectedly	expectedly
unseasonable	seasonable
crippled	uncrippled
undreamable	dreamable
opposition	ally
lot	many
painful	painless
synonymity	antonymity
colony	country
empower	disspirit
pejorative	approbative
clarifiable	unclarifiable
begin	finish
door	exit
tourist	resident
megascopic	microscopic
milli	kilo
seed	full
date	up
youth	people
blow	breathe
reductive	oxidative
shy	brazen
alligator	crocodile
here	far
final	first
xor	xnor
judicious	injudicious
shake	rattle
spankable	unspankable
inegalitarian	egalitarian
respect	contumely
afterthinker	forethinker
chop	finely
drink	coffee
die	life
claustrophile	claustrophobe
motion	stopped
deruralization	ruralization
diverse	homogeneous
card	greeting
continent	asia
infinitival	finite
rootlessness	rootedness
wool	nylon
rest	busy
subpackage	superpackage
pleasant	unpleasant
mountain	volcano
forward	backward
let	prevent
oligodipsia	polydipsia
overdevelop	underdevelop
downgaze	upgaze
consequentiality	inconsequentiality
involuntarily	voluntarily
green	red
unripe	ripe
heterotachy	homotachy
hypermetropia	nearsightedness
sea	desert
decay	build
achiral	chiral
heretic	orthodox
dominant	obedient
less	more
photobiology	scotobiology
common	rare
pact	disagree
poet	novelist
ready	unprepared
arrogate	relinquish
anechoic	echoic
inability	ability
niggerize	deniggerize
timid	dauntless
grip	blade
micraner	macraner
walk	still
queen	king
wash	messy
manners	boorishness
comic	tragic
cake	ice
shortsightedness	hypermetropy
macaroni	spaghetti
wartime	peacetime
edge	dull
hyperosmolar	hypoosmolar
epibiont	endobiont
loan	borrow
quality	cheap
rigidity	ductility
cut	put
maturity	naïveté
posterior	prior
untalkative	talkative
unconsciously	consciously
attract	repel
commonplace	inimitable
men	boy
superhero	supervillain
constructible	destructible
criminalise	decriminalise
excardination	incardination
inner	outer
anticlastic	synclastic
quality	rubbish
speciose	paucispecific
anglophilic	anglophobic
fast	slow
arrival	leaving
repulsion	attraction
viscosity	fluidity
wool	silk
haphazard	systematic
children	ups
overdetection	underdetection
outgroup	ingroup
systematic	chaotic
acroscopic	basiscopic
whitewash	blackwash
leftard	rightard
nondurable	durable
dignified	undignified
availability	unavailability
sursum	deorsum
monosemous	polysemic
overpressure	underpressure
introvert	extrovert
milchig	fleischig
flocculation	deflocculation
educated	uneducated
kernel	userland
antilogue	analogue
bullet	blanks
silk	rough
downgrade	upgrade
communication	anticommunication
rest	tired
less	y
glass	plastic
aphotic	photic
falsidical	veridical
inclusionist	exclusionist
objective	subjective
autonomy	heteronomy
hang	fall
lepidote	elepidote
hypofrontal	hyperfrontal
maximalist	minimalist
indefective	defective
reactively	proactively
believe	doubt
dad	mom
rent	mortgage
client	server
touch	smell
anterogradely	retrogradely
peace	war
birthday	half
productive	destructive
elevation	reduction
prerevolutionary	postrevolutionary
vessel	vein
incautiously	cautiously
menarcheal	menopausal
thinkable	unthinkable
grammatical	ungrammatical
chui	gui
religionist	irreligionist
copyrightable	uncopyrightable
scream	whisper
snow	summer
altrices	praecoces
enamor	disenamour
displease	please
modern	classical
oxygen	carbon
superliminal	subliminal
uninhabitable	inhabitable
maker	destroyer
fellow	lass
invulnerable	vulnerable
lose	find
oui	non
epitome	antithesis
appear	disappear
plate	cup
femme	butch
lie	statement
nonconsolidated	consolidated
terse	verbose
ewg	edg
cover	exposed
coherently	incoherently
owner	renter
lime	lemon
respect	spec
hill	valley
advance	retreat
prosaic	poetic
about	precisely
plain	extravagant
irrationality	rationality
distinction	confusion
donor	receiver
age	number
left	right
fortify	enfeeble
little	much
microphysiology	macrophysiology
physics	nonphysics
extra	inter
exogamy	endogamy
genophilia	genophobia
dupe	dedupe
tappable	untappable
predesignate	preindesignate
separated	combined
masculine	female
nearsightedness	hyperopia
addibility	inaddibility
overruff	underruff
break	fix
handle	lid
paucibacillary	pluribacillary
admit	reject
empower	prohibit
fomo	jomo
holy	profane
refuse	agree
circularization	decircularization
northernmost	southernmost
incommunicable	communicable
petaled	apetalous
autist	neurotypical
inevitably	evitably
fail	win
citizen	subject
pangram	lipogram
rationally	irrationally
outbreathe	inbreathe
eunatremic	dysnatremic
great	terrible
indiscoverable	discoverable
honour	disgrace
inspan	outspan
undefiable	defiable
hill	ground
lateroparietal	medioparietal
crowd	person
fix	destroy
amber	red
absolutism	relativism
moonlit	moonless
fantasy	nonfiction
austere	overwrought
